iter	Passed	Remaining
662	2001	1017
663	2004	1014
664	2007	1011
665	2010	1008
666	2013	1005
667	2016	1001
668	2018	998
669	2021	995
670	2024	992
671	2027	989
672	2030	986
673	2033	983
674	2036	980
675	2039	977
676	2042	974
677	2045	971
678	2048	968
679	2050	965
680	2053	962
681	2056	958
682	2059	956
683	2063	953
684	2065	949
685	2068	946
686	2072	944
687	2078	942
688	2083	940
689	2086	937
690	2091	935
691	2093	931
692	2096	928
693	2099	925
694	2102	922
695	2105	919
696	2108	916
697	2111	913
698	2113	910
699	2116	907
700	2119	903
701	2122	901
702	2125	898
703	2128	895
704	2131	891
705	2134	888
706	2137	885
707	2140	882
708	2143	879
709	2146	876
710	2149	873
711	2152	870
712	2155	867
713	2157	864
714	2160	861
715	2163	858
716	2166	855
717	2170	852
718	2173	849
719	2175	846
720	2185	845
721	2188	842
722	2191	839
723	2195	836
724	2199	834
725	2203	831
726	2206	828
727	2209	825
728	2212	822
729	2215	819
730	2218	816
731	2221	813
732	2224	810
733	2227	807
734	2229	804
735	2232	800
736	2235	797
737	2238	794
738	2241	791
739	2244	788
740	2247	785
741	2250	782
742	2253	779
743	2256	776
744	2260	773
745	2264	771
746	2268	768
747	2271	765
748	2274	762
749	2278	759
750	2282	756
751	2286	754
752	2290	751
753	2294	748
754	2298	745
755	2301	742
756	2304	739
757	2310	737
758	2314	734
759	2317	731
760	2320	728
761	2323	725
762	2327	722
763	2331	720
764	2335	717
765	2338	714
766	2341	711
767	2345	708
768	2348	705
769	2351	702
770	2355	699
771	2361	697
772	2365	694
773	2368	691
774	2372	688
775	2377	686
776	2381	683
777	2384	680
778	2388	677
779	2392	674
780	2396	671
781	2400	669
782	2403	666
783	2407	663
784	2411	660
785	2414	657
786	2417	654
787	2420	651
788	2423	648
789	2426	644
790	2429	641
791	2432	638
792	2435	635
793	2438	632
794	2441	629
795	2443	626
796	2446	623
797	2449	620
798	2454	617
799	2458	614
800	2461	611
801	2464	608
802	2467	605
803	2471	602
804	2474	599
805	2477	596
806	2480	593
807	2483	590
808	2486	587
809	2489	583
810	2492	580
811	2495	577
812	2497	574
813	2501	571
814	2504	568
815	2507	565
816	2511	562
817	2514	559
818	2517	556
819	2520	553
820	2523	550
821	2525	546
822	2528	543
823	2531	540
824	2535	537
825	2538	534
826	2541	531
827	2544	528
828	2547	525
829	2551	522
830	2553	519
831	2556	516
832	2559	513
833	2563	510
834	2566	507
835	2569	504
836	2572	500
837	2575	497
838	2578	494
839	2581	491
840	2584	488
841	2587	485
842	2590	482
843	2593	479
844	2596	476
845	2599	473
846	2602	470
847	2605	467
848	2609	464
849	2613	461
850	2616	458
851	2618	454
852	2622	451
853	2625	448
854	2628	445
855	2631	442
856	2634	439
857	2637	436
858	2641	433
859	2644	430
860	2647	427
861	2650	424
862	2653	421
863	2656	418
864	2659	415
865	2662	412
866	2665	408
867	2668	405
868	2671	402
869	2674	399
870	2678	396
871	2681	393
872	2684	390
873	2687	387
874	2690	384
875	2694	381
876	2697	378
877	2700	375
878	2703	372
879	2706	369
880	2709	366
881	2713	363
882	2716	359
883	2719	356
884	2722	353
885	2726	350
886	2730	347
887	2734	344
888	2737	341
889	2740	338
890	2744	335
891	2747	332
892	2750	329
893	2753	326
894	2757	323
895	2760	320
896	2764	317
897	2767	314
898	2772	311
899	2775	308
900	2778	305
901	2781	302
902	2784	299
903	2788	296
904	2791	293
905	2794	289
906	2798	286
907	2801	283
908	2805	280
909	2808	277
910	2811	274
911	2815	271
912	2818	268
913	2821	265
914	2824	262
915	2827	259
916	2830	256
917	2833	253
918	2837	250
919	2840	247
920	2843	243
921	2846	240
922	2848	237
923	2851	234
924	2854	231
925	2857	228
926	2860	225
927	2863	222
928	2866	219
929	2869	216
930	2872	212
931	2876	209
932	2879	206
933	2883	203
934	2886	200
935	2889	197
936	2891	194
937	2894	191
938	2897	188
939	2900	185
940	2904	182
941	2907	178
942	2909	175
943	2912	172
944	2916	169
945	2919	166
946	2922	163
947	2925	160
948	2928	157
949	2931	154
950	2934	151
951	2937	148
952	2940	145
953	2943	141
954	2946	138
955	2949	135
956	2953	132
957	2956	129
958	2959	126
959	2962	123
960	2965	120
961	2968	117
962	2971	114
963	2975	111
964	2979	108
965	2982	104
966	2985	101
967	2988	98
968	2991	95
969	2994	92
970	2997	89
971	3000	86
972	3003	83
973	3006	80
974	3009	77
975	3012	74
976	3015	70
977	3017	67
978	3020	64
979	3024	61
980	3027	58
981	3029	55
982	3032	52
983	3035	49
984	3038	46
985	3041	43
986	3044	40
987	3048	37
988	3050	33
989	3053	30
990	3056	27
991	3059	24
992	3062	21
993	3065	18
994	3069	15
995	3072	12
996	3076	9
997	3079	6
998	3082	3
999	3084	0
